chest size,sleeve length,height,waist,head,foot length,weight
92.1,88.3,177.3,83.6,59,26.9,64.3
98.8,85.7,171.3,82.1,60.6,25.8,62
84.5,87.1,173.5,74.3,56.9,27.4,61.5
107.4,96,191.3,103.1,58,30.9,100.5
101.5,87.7,175.6,100.1,55.8,27.1,87
87.2,87.3,175.5,76.9,57.8,27,57.9
99,89.3,179.5,94.3,58.2,27.1,78.5
99.6,86.9,173.1,79.8,55.8,28.5,70.7
112.8,85.4,170.7,108.2,55.9,27,101.6
102.7,83.3,167.1,86.5,57.2,26.7,69
109.9,94,189,99.5,59.6,29.6,101.4
85.8,93.1,185.4,71.5,54.3,27,63.7
126.5,89.7,179.7,111.3,59.4,28.2,116.4
92.3,89.3,177.9,83.1,56.1,26.4,70.1
110.1,89.7,178.7,110.6,57.5,27.6,97
95.4,88,175.5,85.1,58,28.5,74.4
90.6,88,175.9,79.4,57.2,26.2,67.3
94.9,84,168.6,80.2,58.4,24.7,70.9
82.8,85.2,170.3,66.9,56.8,24.9,51.3
92.3,83.1,165.8,79.1,56.7,25.9,59.7
110.7,87.9,176.4,116.9,60.9,27.9,111.4
99.2,84.9,170.6,84.6,59.4,25.5,70.4
98.2,92.7,186.1,103.6,58.1,27.9,74.8
94.5,87.5,174.3,75.7,55.7,26.3,62.4
100.1,88.6,177.9,95.7,58.9,26.4,79.7
97.7,86.3,173.2,82.5,58.6,27.6,68.9
95.5,86.4,173.7,91.4,57.7,27,73.6
95,82.8,164.7,84.7,59.6,25.2,69.8
81.3,82.6,166.1,69.6,58.2,26.6,51.8
94.9,88.2,176.5,80.2,56.5,27,68.8
91.1,90.4,180.3,81.5,56.9,28.2,67.8
100.2,85.4,170.4,89.1,55.7,26.1,70.6
108,87.4,174.4,104,62,26.2,97.4
98.3,89.8,178.7,85.9,56.3,27.4,76
103.2,89.2,178.6,96.1,59.4,27,85.3
83.3,80.8,161.7,155.7,56.6,20.6,66.2
100.9,89.1,177.7,88.1,59.3,26.6,77
112.4,80,160.7,106.6,59.2,24.1,85.5
87.4,86.1,171.7,78.1,56,25.8,59.2
101.8,91.8,183,87.6,58.3,27.6,76.1
98.7,88.2,177,86.8,54.3,27.8,76
98.8,88,175.1,84.1,55.2,26.5,69.8
90.7,87.6,175.5,78.8,58.4,28,69.9
96.2,87.3,175,86.8,55.1,25.9,71.4
87.5,86.2,173.2,74.8,57,25.9,56.9
97.9,84.2,168.4,75.9,55.8,24.9,59.7
94.5,84.7,169.6,81.8,57.7,25.1,66
106.7,86.4,173.3,98.2,55.8,32.3,83.1
91.8,82.1,164.1,82.2,56,24.2,58.7
103.3,88.1,176.6,81.1,57.7,27.3,73.5
87.3,89.7,179.3,79.2,56.3,26.1,65
87.9,87.3,174.5,41.3,54,23.8,60.4
108.1,87.4,174.7,105.1,59.1,27,97.3
88.6,86.7,173.5,73.4,54.5,27.2,53.2
94.3,89.1,178.9,91.2,60.2,26.9,80.8
103.7,87.7,175.5,86,54.9,24.8,74.9
83.6,84.5,169.9,76,56.5,26.5,60.1
97.6,84.2,169.2,85.2,54.5,25.8,68.9
108.2,82.1,163.8,115.6,58.5,25.7,90.5
105.1,88.4,177.5,86.8,57.4,27.8,72.1
90.1,86.5,172.5,87.5,57.1,27.1,72.3
102.5,88.8,177.1,96.8,56.1,27.6,86.5
85.4,89.1,178.4,74.8,60,26.9,63.5
105.4,89.3,178.2,92.9,55.9,26.3,82.8
87.7,86,171.9,75.4,54.3,31.7,62.5
112,86.3,172.9,102.5,59.4,27.3,85.1
97.5,90.4,181.8,88,58.1,28.2,82.5
107.4,89.8,178.8,86.4,57.8,27.1,84.5
109.4,83.9,167.7,104.4,57.4,27.6,91
109.8,87.9,176.5,97.2,58.1,25.8,83.5
89.5,87.8,176.6,84.6,57.9,26.4,73.1
96.9,86.6,174,87,56.9,26,75.6
91.5,88.3,177.3,67,56.1,26.3,59.2
100.3,89.1,178.9,84.4,58.9,27.5,69.8
99.8,87.2,175.1,84.8,55.7,26.1,73.3
106.1,88.7,176.6,91.4,57.1,26.6,84.2
83.3,84.2,168,93.9,56.1,25.2,53.1
97.3,88.3,177.1,79.5,54.9,27.2,72
88.4,85,169.2,78.1,55.6,24.6,56.2
90.3,87.3,174.9,87,54,26.9,59.9
106.9,94,187.1,105.9,61.1,29.5,97.4
104.8,88.4,176.4,95.3,58.2,26.9,81.5
89.6,87.1,173.4,84.3,55.9,27.1,67.8
96.1,87.8,175.4,83.3,57.6,26.2,64
93.1,83.4,167,85.6,55.3,25.4,68
100.6,83.8,168.3,86.8,54.4,25.1,71.8
84.8,81.9,164.4,71.3,55.4,25.9,55.4
107,87,174.6,95.4,57.6,30.2,83.7
97.9,85.2,170.7,85.4,58.4,27.3,66
100.4,94.6,188.6,83.7,58.3,29.4,84.7
100.1,89.1,178.4,85.6,59.5,26.7,78.1
94.4,84.1,169,90.8,56.8,26.5,66.6
104.2,90.8,182.1,91.6,61.5,28.1,88
111.7,88.2,176.6,100,57.2,27.4,89.3
101.8,87.2,174.8,97.4,58.5,24.7,87.9
122.5,85.6,170.8,105.7,58.2,25.6,98
91,89.5,178.7,76.8,55.7,27.2,68.3
102.1,88.7,178.1,77.1,56.6,26.2,68.5
92.3,88.9,178.3,81.8,55.2,27.8,73.4
91.8,88.6,176.5,77,55.6,27.4,60.6
98,87.5,175,87.8,57.7,26.5,71.5
110.8,88.6,178,105.9,59.4,28.2,101.4
95,89.5,179.2,93.2,58.3,28.2,82.6
103.6,86.6,173.9,105.8,60,27.4,87.4
89.8,85.3,170.2,81.1,55.7,24.3,69.4
98.6,83.9,168.4,85.5,56.5,24.6,66.6
84.4,88.5,176.9,96.5,55.8,28.1,62.4
89.1,84.4,168.1,78.9,58.5,26.5,55.6
93.8,93.3,186,88.3,57.7,28.2,83
98.4,86.4,171.9,81.9,58.4,25.4,73
90.2,88,176.4,79.7,57.3,27.1,65.9
95.1,86.7,172.5,79.9,58.9,27.6,67
102.9,85.8,170.9,93.2,58.6,26.5,76.1
85.1,86.7,173.4,76.4,55.2,26.1,57.9
93.6,85.7,171.4,81.2,57.4,25.7,73.9
128.1,93.5,187,127.7,59.1,29.9,128.8
95.7,89.5,178.5,87.3,57.4,27,68.1
96.5,83.6,166.8,84.1,58,27.4,66.9
111.4,86.6,173.9,107.9,61.3,26.1,97.3
98.4,85.8,170.9,80.3,58.5,25.9,65
85.5,92.3,183.6,76.7,58,28.7,66.1
100.9,83.3,167.2,77.5,56.9,24.7,62.1
91.3,87.9,176.5,77.6,57.2,31.5,62.3
103.9,93.3,186.1,89.7,59.4,27.6,83.3
93.1,87.6,175.5,104,56.5,28.5,69
98.2,89.1,177.7,87.3,56.7,27.1,69
107.8,85.4,171.5,107,57.1,27.1,87.3
111.1,89.2,177.7,90.7,59.2,27.5,85.3
115.5,89.1,178,106.8,61.3,27.1,98.8
116.8,83.1,167,109.2,58.3,26.2,94.4
108.1,94.1,189,98.7,62,28.8,102
92.8,81.7,162.9,82.8,59.3,24.8,57.7
85,86.6,173.1,71.9,54.1,28.2,57.3
107.1,86.4,172,88.9,57.4,26.3,83.1
82.2,87.9,175.6,73,58,26.8,52.8
104.9,89.1,178.6,89.3,59.4,26.1,78
97.7,86.7,174.4,85.4,59.5,27.6,73.8
94.4,83.6,167.8,83.1,56.2,26.6,64.1
87.2,85.2,170.2,75.7,54.7,26.1,57.4
108.2,85,169.8,97.9,61.2,26.1,81.7
96.5,90.5,180.5,102.4,57.3,29.8,74.2
95.8,86.7,174,80.6,58.4,27,64.9
111.2,93.2,186.6,111.4,62.2,26.7,108.2
100.7,87.5,174.8,85.3,59.1,27.9,69.5
101.9,87.3,175.2,86.3,57,26,73.4
101.4,85.6,171.3,90.8,56.4,25.7,71.5
95.2,88.2,176.1,86.5,58.8,28.8,71.4
97.3,88,175.8,81,55.9,27.8,63.1
91.9,86.5,173.1,84.9,60.5,26.5,62.9
96.2,90.5,180.6,87.1,59.8,26.7,71.5
87.2,87.6,175.8,77.9,56.3,26.5,60.1
104.5,88.5,176.2,94.4,58.1,26.3,89.8
95.1,87.7,174.6,89.8,58.6,27.2,74.4
87.7,89.5,179.6,78.5,54.6,28.4,63.6
91.2,86.4,172.2,84.2,56.2,24.9,76
94.6,85.8,172.1,83.9,55.1,27.9,63.3
85.6,85.9,172.1,69.3,56.6,25.9,54.3
102.5,92.1,184.1,84,57.6,29.1,81.6
114,88.2,176.2,101.6,59.1,25.8,96.4
98.1,83.1,166.4,59.1,58.5,24.8,71
115.4,86.5,173.1,112.6,59.1,27.7,95.3
96.1,88,175.1,81.5,58.2,27.4,61.5
110.5,87.7,175.5,101.7,62.5,28.5,97.4
93.7,88.7,177.5,79.8,57.4,28.7,66
102.1,82.3,163.5,92.2,59.9,25.1,75.1
104.4,90,180.6,88.3,58.6,26.3,71.4
81.7,92.5,185.4,72.7,57.6,28.5,54.6
101.2,88.8,178.1,84.6,59.5,26.8,73.7
90.9,86.2,171.6,80.8,60.1,25.7,65.4
95.5,81,161.3,88.1,60.5,24.4,61.9
83.6,86.3,173.3,75.6,56,29.2,58.8
101,92,184.7,94.9,59.7,27.4,83.6
103,89.4,179.5,92.4,60.8,25.8,76.5
105.9,87.1,174.2,96.4,57,24.9,80.5
95.3,87,174.9,86.7,59.3,26.3,74.4
110.4,87.8,176,103.8,60.4,25.9,92.5
90.1,84.2,168.2,81.6,57,26.8,66.7
109,91.7,184.1,99.3,60.8,27.9,86.6
94.3,90.2,181,85.7,59,27.7,73.8
103,84.1,168.6,91.9,56.2,25.7,77.3
100.2,85.6,170.9,86.9,59.7,24.6,73.9
83.7,82.5,164.7,86.2,57.1,23.8,49.6
95.1,88.7,176.9,82,59.2,26.5,73.6
111.9,87.4,175.4,107.7,59.6,27,93.7
89.8,84.5,169.1,81.9,55.5,27.1,62.6
98.8,85.4,171,89.9,55.7,26.2,75
103.2,89.4,179.2,96.2,57.3,28.3,86.4
121.9,90.6,181.5,119.5,58.6,28.8,113.3
104.8,95.2,190.4,93.2,62,28.9,92.9
99.7,84.4,168.4,84.9,56.5,24.9,65.3
83.1,86,172.6,75.7,57.9,26.2,58.6
92.6,84.5,169.3,76.4,55.3,25.8,57.9
109.3,87.1,174.2,106.1,58.7,29.9,97.8
124,89.6,179.2,111.9,59.2,28.3,103.5
107.9,91,181.2,108.6,59.3,28.9,95.3
109.3,89.4,178.9,95.8,56,28.5,87.2
87.8,83.6,166.9,79.4,56.1,25.4,60.3
93.3,85.9,172.5,79.4,56.8,26,62.2
94.8,87.1,173.9,80.1,57,28,71
105.9,87.2,174.2,90.9,57.5,24.6,81.3
95.6,86,172.5,88.3,56.2,27.3,68
102.6,87,174.2,115.6,55.1,26.6,74.4
111.9,91.2,182.4,103.6,60.2,26.9,93.8
112.5,86.7,172.5,102.8,59.6,25.8,90.8
111.6,90,179.7,100.2,59.7,28.5,94.2
89.8,83.8,168,80.2,57.6,25.7,59.8
93.9,87.6,174.2,105.7,56.9,27,74.2
95.3,95.6,192.1,84.9,58,28.3,74.5
91.1,88.5,176,85,57,25.5,63.4
114.6,88.7,177,101.4,61.1,25.5,107.8
98.5,84.1,168.8,76.1,56.4,25.6,62.3
96,87.5,174.5,78.1,57.1,26.5,62.7
91.3,85.2,171,75.2,58.4,26.5,56.1
119.5,87.4,174.3,122.5,58.4,27.8,117.9
119.9,88.1,177.3,112.2,62.6,28.2,103.4
102.9,84.6,169.7,85.5,57.6,26.5,74.7
85.7,84.2,168.8,74.8,55.1,23.9,60.3
97.5,85.9,172.4,72.9,56,26.4,60.3
99.8,88.6,176.7,93.2,57,26.8,81.8
105.1,85.5,171.8,87.8,58.6,25.8,74.9
86,84.8,169.6,67.6,57.2,24.7,52.5
92.8,90.5,181.9,78.7,57.5,28.7,70.7
90,88.7,177.9,77.2,55.3,25.1,61.5
103.4,90.2,180.1,92.3,58.3,26.4,81.7
88.7,84.8,170.2,77.7,54.9,24.4,59.6
89.3,87.7,176.2,80.5,55.7,26.1,56.7
92.9,89.1,177.4,83.3,58.4,27.8,69
101.8,86.5,173.5,88.3,57.6,25.4,70.6
114.8,91.9,183.6,115.5,62.6,29.6,123.6
102.5,90.7,181.6,85.2,56.4,27.9,73.9
103.8,93.1,186,100.5,57.3,30.3,98.1
95.7,85.7,170.6,77.7,57.7,26.6,58.2
96,84.6,169.8,91.5,58.1,25.9,73.6
101.7,84.1,167.9,90.8,55.4,26.2,67.5
96.1,91.2,181.4,93.6,59.8,27.8,77.4
102.8,89.8,180.3,89.8,57.9,27.7,80.2
92.8,87.2,173.5,78.1,57.9,26.4,71.9
108.4,86.9,174.7,96.5,56.5,26.7,86.6
87.6,84.6,169.8,77.2,57.7,26,61.5
97.5,85.7,171.5,87.3,57.9,25.7,74.2
95.2,90.4,180.8,72.3,58.4,27.4,65.3
98.1,85.7,170.8,83.7,60.2,26.6,65.4
80.3,83.1,167.2,74.3,55.9,24.9,53.4
97.7,86.3,172.1,81.5,54.6,28.1,63.1
92,95.3,190.3,78.7,61.7,29,71.9
100.2,85.8,171.7,91.3,57,26.7,82.3
81.1,88.3,177.4,75.4,57.5,27.2,56.5
102.7,88.7,177.7,91.1,57.5,25.5,83.5
94.6,88.3,177,80.1,57.5,26.4,70.8
100.6,91.6,182.8,80.3,54.9,27.4,76.6
86.1,87.6,175.8,73.1,56.5,25.8,60
102.8,85.6,172,102.7,57.9,26.2,91
83.6,86,171.7,75.4,58.5,27.2,55.2
99.8,88.4,177.3,88.2,57.4,25.8,77.2
98.8,87.1,174,94,57.1,25.4,71.5
101.9,92.4,184.3,95.7,58.5,26.6,87.8
97.4,86,172.4,93.9,58.9,26.6,73.4
94.5,86,172.6,84,56.4,25.6,62.4
90.5,80.6,162.1,82.7,58,25.5,57.4
88.8,88,175.6,85.7,55.9,26.5,63.9
82.8,86.5,172.8,66.1,55.3,24.8,52.1
90,85,170.5,71.7,54.4,24.5,55.8
100.1,90.1,179.6,100.7,59.1,28.6,89.4
102.2,85.9,171.7,86.6,54.2,25.5,72.7
91.8,85.9,171.5,86.4,59.1,26.8,69.9
100.4,83.6,167.8,85.1,59.4,26.5,68.2
85.9,85.8,171.4,76.2,59.9,26.9,58.1
97.9,90.5,180.6,89.1,59.8,27.2,75.7
84.7,84.9,170.7,71.2,54.8,25.2,56.6
94.9,85.7,171.9,77.5,58,24.6,58
87,85.7,171.6,72.2,57.7,25.1,54.3
116.8,88.3,177.2,105.7,57.2,26.6,101
106.4,91.7,183.1,104.4,59.1,29,95.4
91.2,87.9,175,90.3,55.3,26.6,63.4
117.3,88.3,176.6,107.4,60.2,28.1,97.8
99.6,83.8,168,80.5,55.9,26.8,68.1
79.9,89.5,179.1,69.4,55.7,26.1,60
88.5,84.4,168.8,71.8,56.6,24.6,56.3
83.1,87.3,174.5,71,59.9,24.3,52.3
110.4,88,175.6,101.1,58.9,26.3,83.8
96.9,84.2,168,92.3,59.8,25.7,70.1
97.1,88.2,175.7,64.1,55.2,25.6,69.8
92.9,86.8,173.7,85.4,57.4,26.8,64.1
97.2,89,178.6,82,58.7,26.8,65.2
81.9,86.3,172.4,65.7,57,26.2,48.1
105,88.2,176,90.3,55.6,27.5,81.9
93.9,89.8,178.8,85.2,57.5,30.7,74.4
90.2,89.8,180.4,77.8,57.8,27.1,59.7
109,88.2,177,95.6,58.2,26.5,94.9
96.7,85.5,170.4,81.3,55.9,27.6,60.5
81.4,81.1,162.1,68.7,57.1,24.8,40.7
96.4,80.3,161.5,81.2,56.5,26.1,63.8
88.6,89.3,178.7,69.2,54.2,27,62.2
86.9,93.1,185.2,92.2,59.2,27.2,77.3
117.8,90.4,180,110.4,57.7,27.6,107.9
95.9,83.5,166.6,81,56.2,26.4,66.1
99.2,88.4,176.2,83.4,62.1,26.4,67.9
100.4,90.3,181.3,86.3,58.7,27.3,80.9
97.8,86.9,173.8,95.1,56.1,28.5,80.3
100.7,85.5,171.7,88.1,56.4,25.5,69.7
93.6,88.8,178,83.9,58.5,27.2,74.9
98,90.8,181.8,87.2,59.3,27.9,74.7
98.9,91,181.9,87.3,56.2,28.2,84
100.2,88.5,177.9,94.9,57.9,27.1,82.2
88.3,86.2,172.6,72.7,58.7,26.3,59.6
103.3,86.5,172.6,88.5,57.2,25.8,79.9
117.2,91.2,181.7,112.2,60.4,28.7,109.2
104.7,87.1,173.4,93.8,58.2,25.4,78.4
93.1,87.1,175.3,87.9,56.6,29.6,84.6
92.9,81.2,162.3,77.9,56.6,24.3,58.2
84.7,86.8,174.1,64,58.9,27,58
108,86.7,173.2,96.8,57.6,27.4,88.6
79.5,82.4,164.9,68.9,53.1,25.3,44.7
109.3,90.5,180.1,101.3,58.8,28,88
85.8,93.3,186.6,73.4,59.3,27.5,63.1
92.6,82.9,166.4,78.3,54.3,26.6,58.6
101.4,88,175.8,98.4,60.4,28.7,87.5
104,87.2,175.3,85.9,59.2,26.3,74.4
108.4,83.6,167.8,109.8,60.5,26.1,92.3
106.1,88.4,177.4,97.5,58,26.8,86.1
102.2,85.7,171.8,87.1,55.9,25.7,75
108.4,91.3,183,94.7,62.1,27.3,83.4
116.9,88.2,176.9,105.6,62.1,28,100.1
93.9,95,189.3,85.8,61.2,27.9,80.1
98.1,85.9,172.4,93.9,58.8,24.5,78.7
90.9,89.5,179.7,76.4,56.3,26.4,58.9
106.8,85.5,171.5,99.1,58.3,28.5,89.7
92.8,90.5,181.9,78.7,57.5,28.7,70.7
84.4,87.1,174.2,77.8,57.8,25.9,55.8
96.3,88.5,177.6,89.1,53.7,27,74
105.2,86,172.3,97,59.9,27.5,85.8
97.1,86.6,172.9,93.6,57.8,26.6,73.2
81.2,86.8,174.1,71.5,60.2,23.4,53.1
87.3,87.8,176.1,66.7,57.6,24.5,58.2
97.9,85.5,171.4,94.9,59.4,26.7,77.7
95.4,88,175.1,92.3,58.1,26.8,60.8
82.3,85.6,170.5,71.7,57.5,25.9,57.4
100.1,86.6,172.5,100.2,54.2,25.8,75.5
87,82.9,166,74.6,56.5,24.2,54.8
91.9,87.4,174.3,79.1,59,26.3,62.2
110,84.4,169.6,102.2,58.3,25.9,93.8
104,85.5,170.9,94.8,58,25,79.3
112.2,87.6,175.6,109.5,61.1,28.6,102.7
98.3,86.1,172.4,87.2,56.2,30.2,70.2
97.7,86.1,171.9,88.9,57.2,27,74
100.6,86.7,174.1,91.3,59.4,26.9,84.5
84.9,85.8,172.3,75.2,58.7,26.7,57.7
91.7,82.6,165.8,87.2,56.5,24.4,59.6
111.3,92.6,185.5,103.1,61.2,28.2,98.8
99.3,90.4,180.4,85,56.8,28.1,69.8
89.5,87.6,176.2,80.8,57,26.1,60.2
112.2,93.4,187.5,102.2,59.4,29.7,91.1
107.2,85.1,171.1,96.3,60.5,26,78.8
107.3,84.7,170.3,95.1,58.8,26,82.3
94.9,84.2,168.9,82.8,57.9,25.7,68.7
89.2,85.7,171.3,75.8,56.3,26.8,58.8
95,87.9,175.3,83.6,57.9,26,72.7
98.5,86.5,173,80,56,26.3,63.6
92.9,85.2,170,86.9,57.3,26,67.6
104.7,88.9,177.5,88.3,58.5,27.1,81.2
91.5,80.8,161.3,74.2,56.9,23.8,53.6
108.5,82.9,165.5,101.6,57.1,25.7,86.4
87.8,87.3,173.8,77.8,55.6,25,60.5
98.9,87.5,174,87.1,57.6,26.5,70.5
84.1,87.6,175.9,72.1,56.6,24.4,54.8
98.8,87.6,174.8,82.7,56,28.2,67.8
106.5,89.4,178.9,97.9,58.8,28.4,91
96.7,88.9,178.5,89.6,57.6,26.7,75.7
83.1,87.2,174.2,69.2,57.4,25.9,57.7
100.2,89.2,179.3,86.6,55.9,28.1,73.7
100,90.3,181.6,92.1,60.1,27,86.3
86.1,86.9,172.9,74.1,56.5,25.5,53.3
89.7,83.2,166.2,81.2,59.8,24.8,60
99.3,86.2,172.2,73.7,58.2,25.1,75.8
106.5,88.2,176.7,98.6,59.7,27.3,83.8
113.8,88.2,175.6,103.3,59.7,25.8,94.5
87.9,85.3,170.5,80,57.2,26.3,62.8
94.7,87.4,174.5,87.8,57.3,27.1,63
95.7,83.7,167.3,87.1,52.4,24.6,78.2
104.5,91.2,181.9,90.3,59.6,26.8,81.7
88.6,88.6,177.5,76,56.7,28,60.6
101.8,86.5,173.5,88.3,57.6,25.4,70.6
115,90,180.9,104.1,54.6,27.1,101.5
95.7,89.4,179.5,84.3,56.3,25.7,74.4
92.2,89.8,179.5,84.3,57.8,27.9,71.4
101,85.7,171.1,90.4,60.4,28.4,78.1
95.7,94.1,187.4,92,60.4,28.3,90.3
97.5,88.8,177.8,85.6,58.7,29.2,75.1
108,87.1,174.5,102,60.6,28.5,92.6
100.1,90,179.9,78.7,59.4,28.1,70.7
88.9,82,165,80.6,57.8,25.4,60.7
99.7,86.7,174,75.6,57.9,25.4,67.5
98.9,84.8,168.9,88.8,61.7,26.4,67.9
110.3,84.9,169.7,102.9,59.7,26.7,87.1
86.9,86.9,174.1,76.2,56.5,26.9,61.5
104.4,87.4,175.4,96.2,60.1,27.7,85.6
94.7,88.1,176.3,81.4,62.3,26.5,74
116,86.3,173.1,103.1,57.6,27.4,95
87.1,84.9,169.3,75.8,60.4,25.5,59.7
117.3,90.8,182.2,99.1,59,28.8,96.1
87.4,84.4,169.4,74.3,57.2,26.3,53.3
102.4,89.6,179.2,89.5,57.1,26.4,78.3
113.1,90.1,180,101.7,58.6,28.8,95.7
121.4,84.6,169.7,108.5,58.3,27.6,100.7
91.8,84.8,169.9,71.4,58.3,26.8,56.5
86.8,89.8,179.4,87.9,54.8,27,55.9
99.5,87.3,175.3,90.6,58.6,27.4,74.4
97.2,85.8,170.7,79.7,58.2,27.3,63.5
98.2,87.2,174.7,87.2,57.6,26.8,67.9
103.8,80.7,162,97.8,60.6,24.4,78.8
92.1,86.8,174.1,74.2,57,26.6,59.7
100,86.8,173.2,80.8,60,27.7,73.5
91.4,84.9,169.2,84.1,61.9,25.3,70
112,88.8,177.1,104.9,56.5,26.5,93.6
104.7,90.1,180.7,103.9,59.6,28.4,97
94.5,86.6,172.4,73.3,56.3,26.2,59.7
88.3,86.2,172.9,74.4,58.6,25.5,57
97.5,89.5,179.8,87,63,28.4,69.7
102.2,83.2,166.3,89.8,55.2,24.8,79.1
97.4,84.7,170.2,84.6,56.5,25.4,69.4
103.5,85,170.5,101.2,58.3,27.2,80.2
108.9,85.7,171.9,97.3,56.1,26.2,94.7
87.5,91.5,183,77.4,58.6,29.3,61.4
97.3,85.5,171.7,75.7,60.9,25,63.4
104.9,83.8,168.3,96,60.2,26.1,81.3
108.6,94.2,188.3,97.9,58.2,27.4,90.3
91.5,89.5,178.4,86.2,62,28.3,77.8
91.3,84.6,168.9,62.2,56.3,26.1,59.2
97.4,86.6,172.9,95,57.5,26.2,77
100.3,88.3,177.3,90.5,55.9,28.3,70
96.1,91.1,181.3,93.9,59.8,27,89.3
94.4,84.8,170.3,73.7,55.7,24.4,59.7
93.2,88.2,176.3,110.2,53.4,26.2,80.3
99,87.8,176.3,91.4,55.5,26.7,81.1
96.6,88.1,176.4,89.1,60.2,27.1,75.4
88.1,88.3,176.8,77.4,56,27,63.7
96.2,90.5,180.5,92.9,56.9,29.5,87.6
97.4,89.1,178,80.6,55.9,27.7,66.9
99.7,89.8,179.9,83.4,57.4,25.6,69.3
92.6,87.3,175.6,83.4,55.7,26.3,60.8
95.8,88.4,177.2,79.2,54.1,28.4,77.6
90.9,83.3,167.4,76.5,55,25.5,56.3
91.6,85.1,169.8,96,61.5,24.9,74.1
93.8,87.9,175.9,86.4,58.1,27,71
97.4,87.1,174.8,95,59.5,26.8,74.7
96.4,90.7,180.8,79.4,56.9,29.3,66.8
99.1,95.1,190.9,91.3,59.8,28.9,87.3
97.1,90,179.4,87.4,57.5,25.3,72.8
91.8,88.5,177.8,84.1,57.8,27.2,78.8
89.6,86.4,172.2,77.8,56.1,26.1,56.3
91.7,84.4,168.6,83.7,56.4,25.7,64.5
88.1,91.8,183.1,81.8,56,27.5,65
100.7,83.8,167.3,87.9,58.9,26.4,73.2
104.4,88,175,90.6,59.2,26.9,74.1
97.7,89.1,177.6,87.9,57.6,29.1,79.9
92.4,85.8,171.2,84.6,59.3,26.4,63.6
93.6,85.8,171.7,71.1,60.5,25.4,48
91.9,83.6,167.8,77.4,57.9,25.1,58.1
86.9,84,168.1,71.5,57.5,25.5,52.5
105.5,88.2,177,70.7,58.2,26.1,86.7
99.6,88.2,176.5,90.2,57.3,26.3,74.6
104.5,86.4,173.3,95.1,59.4,27,81.8
88.5,84.6,169,75.2,58.6,26.4,53.5
96.8,91.3,183.5,87.9,56.5,27.2,71.2
94.5,88.1,176.5,80.6,60,27.1,72.7
93.7,84.2,168.3,80,57.7,25.5,54.9
81.2,84.9,170.5,64.7,58.1,27.6,45.1
91.8,85.2,170.2,84.6,55.5,27.2,60
83.9,89.8,179.5,73.2,55.4,27.6,62
99.3,85.5,171.7,85.1,56.4,27.2,68.4
97.1,91.2,181.5,89.1,59.2,28.9,86.2
103.1,92.6,185.4,83.7,59,29.9,76.2
91.6,81,162.2,88.1,59,26,62.8
93.2,83.2,166.3,79.4,56.1,24.6,58.9
88.1,89.7,179.3,75,59.9,26.8,61.8
113.2,86.6,173.8,92.1,60.3,25.7,73.8
95.8,86.9,174.2,92.6,60.8,27.8,77.5
93.5,89.7,179.6,80.7,57.7,27.4,61
92.3,84.6,168.5,83.4,61.4,26,66.4
89.4,84.1,167.8,82.2,57.8,26.2,64.9
93.4,87,174.3,86.6,57,24.3,68.3
116.2,93.4,186.7,105.8,58.6,30.2,100.2
90.2,86.9,174.7,88.5,58.5,26.5,65.5
104.6,88.3,176.2,85.3,56.5,27.1,79.1
91.7,86.8,172.5,79.3,58.3,28.4,62.3
95,86.4,172.3,81.5,57.5,26.2,61.5
89.3,85.7,171.7,75.1,56.4,25.6,60.5
97.5,86,172.6,83.7,55.7,26.6,61.5
83.6,87,173.7,72.4,55,26.6,50.2
101.6,86.3,172.6,81.9,58.4,24.8,65.7
102.9,87.3,173.6,100.5,57.6,27.1,88.2
92.7,86.7,174,75.8,57.1,26.8,62.7
102,84.3,169,92.8,58.7,25.6,78.3
107.9,91.2,181.7,92.8,62.5,26.9,82.9
89.6,92,184,81.5,57.9,26.8,66.4
85,83.7,167.1,76.2,55.4,25.5,49.3
90.6,85.1,171.1,78.1,55.1,25.3,60.3
97.3,89.7,180,84.9,56.7,29,72.8
99.5,87.4,174.4,98.8,58.6,26,85.3
108.2,86.5,173.6,94,58.6,24.5,83
96.6,90.6,180.3,81.8,60.1,28.1,65.3
98,82.6,165.8,82.1,56.5,26.7,68.9
83.7,87.5,174.8,122.1,52.1,25.8,74.4
106.1,91.7,183.8,103.1,57.6,28.1,86.8
90.9,85.3,169.7,87.4,59.5,26.5,63.8
96.9,89,177.8,81.6,54.9,26.9,65.5
92.5,88.8,178,84.3,58.3,25.3,70.3
98.4,88.1,175.5,83,55,25.3,72.3
91.9,87.3,174.2,86.4,59.5,26.6,69.5
106.2,86.9,173.4,95.6,56.9,25.3,85.4
101.1,86.7,172.9,91.2,59.3,26.9,80.6
93.8,89.7,179,85.8,57.7,27.3,72.4
110.9,81.8,164.4,104.2,58.6,26.3,88
98.4,82.7,166.2,85.3,56.4,25.4,67.6
84.8,89,177.6,76.1,59.4,27.9,61.6
91,87.3,173.9,76.5,58.3,27.9,62
99,91.1,183.2,109,61.7,26.5,98.6
108.6,88.2,177,91.2,57.7,26.8,80.2
97.6,85.3,171.3,95.5,58.5,26.1,75.9
85.9,88,176.7,88.8,57.9,26.7,51.9
99.5,89.8,178.6,92.8,56.2,25.7,79.3
92,86.8,172.6,75.2,57.5,23.7,65.1
101.4,84.2,168.2,98.2,58.2,27.2,81.9
